Artikelnummer;Bestandseinheit;Produktkennung-Typ;Produktkennung-Wert;Produktkennung-Wert 2;Verfügbare Stückzahl;Käufe;Gebote;Preis;Start Date;Angebotsende;Zustand;Typ;Artikelbezeichnung;Name der Unterkategorie;Kategorienummer;Private Notizen;Website auf der ursprünglich eingestellt wurde;Download-Datum;Variantendetails;Produktreferenznummer;Zustands-ID;OutOfStockControl
122412423047;;;;;3;0;;"EUR 7,50";23.03.17;;Neu;9;"The Swapper PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345313927;;;;;0;1;;"EUR 6,75";23.03.17;;Neu;9;"Cave Story+ PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278379321;;;;;0;1;;"EUR 1,70";22.01.17;;Neu;9;"Ittle Dew PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345315185;;;;;3;3;;"EUR 14,05";23.03.17;;Neu;9;"Mordheim: City of the Damned PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345316628;;;;;0;0;;"EUR 5,11";23.03.17;;Neu;9;"Spacebase DF-9 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278380610;;;;;3;0;;"EUR 1,50";22.01.17;;Neu;9;"InFlux PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122322431321;;;;;3;0;;"EUR 1,50";22.01.17;;Neu;9;"Huntsman The Orphanage (Halloween Edition) PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278380814;;;;;3;1;;"EUR 4,48";22.01.17;;Neu;9;"Godus PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278380910;;;;;3;0;;"EUR 3,50";22.01.17;;Neu;9;"Triple Town PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278380955;;;;;3;7;;"EUR 2,00";22.01.17;;Neu;9;"18 Wheels of Steel: American Long Haul PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112278381025;;;;;3;1;;"EUR 2,10";22.01.17;;Neu;9;"Papo & Yo PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
