Product,Parent,Nr,Typ,AltText,Url,ID
53283419,1911956,2,3,,http://bilder.afterbuy.de/images/NPZZNW/rohstoff_gruenlippmuschel_pulver_glas_1200x1200_72dpi.jpg,2990408
53284023,0,1,0,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_100g_1200x1200_72dpi.jpg,1784456
53284023,1784456,1,1,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_100g_1200x1200_72dpi.jpg,1784457
53284023,1784456,1,2,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_100g_1200x1200_72dpi.jpg,1784458
53284023,1784456,1,3,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_100g_1200x1200_72dpi.jpg,1784459
53284023,0,6,0,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,1937713
53284023,1937713,6,1,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2933832
53284023,1937713,6,2,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2933833
53284023,1937713,6,3,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpi.jpg,2933834
53284023,0,3,0,,http://bilder.afterbuy.de/images/NPZZNW/etikett_mineral_formel_100g_1200x500_72dpi.jpg,2962472
53284023,2962472,3,1,,http://bilder.afterbuy.de/images/NPZZNW/etikett_mineral_formel_100g_1200x500_72dpi.jpg,2962473
53284023,2962472,3,2,,http://bilder.afterbuy.de/images/NPZZNW/etikett_mineral_formel_100g_1200x500_72dpi.jpg,2962474
53284023,2962472,3,3,,http://bilder.afterbuy.de/images/NPZZNW/etikett_mineral_formel_100g_1200x500_72dpi.jpg,2962475
53284025,0,1,0,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_250g_1200x1200_72dpi.jpg,1784484
53284025,1784484,1,1,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_250g_1200x1200_72dpi.jpg,1784485
53284025,1784484,1,2,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_250g_1200x1200_72dpi.jpg,1784486
53284025,1784484,1,3,,http://bilder.afterbuy.de/images/NPZZNW/produktbild_mineral_formel_250g_1200x1200_72dpi.jpg,1784487
53284025,0,6,0,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpijpg.jpg,3016527
53284025,3016527,6,1,,http://bilder.afterbuy.de/images/NPZZNW/neu11aniforte_sortiment_symbol_1200x1200_72dpijpg.jpg,3016528
